t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
991.71,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.72,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.73,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.74,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.75,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.76,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.77,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.78,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.79,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.8,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.81,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.82,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.83,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.84,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.85,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.86,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.87,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.88,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.89,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.9,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.91,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.92,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.93,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.94,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.95,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.96,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.97,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.98,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.99,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
